,id,B,S,initial_state,iterations,file,density_evolution
10,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 0 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 0 1 1 1 0 1 0 0 1]
 [0 0 1 0 0 0 1 0 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 0 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n10,"[0.42, 0.65, 0.17, 0.85, 0.15, 0.87, 0.13, 0.88, 0.12, 0.88]"
11,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 0 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 0 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 0 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n11,"[0.44, 0.71, 0.14, 0.9, 0.09, 0.93, 0.07, 0.96, 0.02, 0.98]"
12,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 0 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 0 0 0 0 0 0 0]
 [1 1 0 0 1 0 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n12,"[0.42, 0.64, 0.22, 0.86, 0.12, 0.9, 0.1, 0.93, 0.07, 0.96]"
13,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 0 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [1 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [1 0 1 0 1 1 1 0 0 0]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n13,"[0.46, 0.65, 0.25, 0.8, 0.15, 0.88, 0.11, 0.92, 0.08, 0.95]"
14,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [0 1 1 0 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 0 1 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 1 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n14,"[0.46, 0.69, 0.18, 0.82, 0.17, 0.84, 0.16, 0.84, 0.16, 0.84]"
15,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 1 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [0 1 1 0 1 1 0 1 0 1]
 [0 0 0 0 1 1 1 1 0 1]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n15,"[0.5, 0.58, 0.32, 0.71, 0.26, 0.76, 0.24, 0.76, 0.24, 0.76]"
16,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 0 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 0 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 0 0 0 1 1 1 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 0 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n16,"[0.44, 0.68, 0.21, 0.82, 0.17, 0.87, 0.13, 0.91, 0.09, 0.93]"
17,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 0 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 0 0 0 1 1 0 0]
 [0 0 0 1 1 1 0 0 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 1 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n17,"[0.46, 0.64, 0.22, 0.81, 0.16, 0.88, 0.12, 0.91, 0.09, 0.93]"
18,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 0 1 1 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 1 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 0 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n18,"[0.46, 0.64, 0.18, 0.85, 0.13, 0.9, 0.1, 0.93, 0.07, 0.96]"
19,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 0 0 1 0]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 0 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 0]
 [0 1 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n19,"[0.44, 0.69, 0.18, 0.87, 0.11, 0.92, 0.08, 0.95, 0.05, 0.99]"
20,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 0 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 1 0]
 [0 0 0 0 0 1 0 1 1 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n20,"[0.46, 0.67, 0.2, 0.86, 0.12, 0.91, 0.09, 0.93, 0.07, 0.96]"
21,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [1 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 0]
 [0 0 0 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 1 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 1 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n21,"[0.48, 0.7, 0.18, 0.85, 0.13, 0.9, 0.1, 0.93, 0.07, 0.96]"
22,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 0 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 1 1 0 1 1 0 1]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 1 0 1]
 [0 0 0 0 0 1 0 1 0 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n22,"[0.48, 0.6, 0.28, 0.79, 0.21, 0.81, 0.19, 0.83, 0.17, 0.86]"
23,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 1 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 0 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 1 0 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 1 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 1 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n23,"[0.48, 0.61, 0.28, 0.78, 0.2, 0.81, 0.19, 0.81, 0.19, 0.81]"
24,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 1 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 1 0 1 0 0 0 0 0 1]
 [0 1 1 0 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 1 0 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n24,"[0.48, 0.61, 0.29, 0.78, 0.2, 0.82, 0.18, 0.84, 0.16, 0.84]"
25,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 0 1 1 0 1 1]
 [1 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [0 1 1 1 1 0 1 0 0 1]
 [0 0 1 1 1 0 1 1 0 0]
 [0 0 0 0 0 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n25,"[0.46, 0.61, 0.26, 0.76, 0.22, 0.8, 0.21, 0.8, 0.2, 0.8]"
26,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 0 1 1 1 0 1 0 0 1]
 [0 0 0 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 1 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 1 0 1 1 1 0 0]
 [0 1 0 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n26,"[0.46, 0.63, 0.21, 0.82, 0.15, 0.86, 0.14, 0.87, 0.13, 0.88]"
27,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 0 1 0 1 1]
 [0 1 0 0 1 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 1 0 1]
 [0 0 1 1 0 0 1 1 1 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n27,"[0.48, 0.62, 0.28, 0.79, 0.2, 0.83, 0.17, 0.86, 0.14, 0.88]"
28,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [1 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 0 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 1 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 1 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 1 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n28,"[0.5, 0.6, 0.31, 0.73, 0.22, 0.8, 0.2, 0.81, 0.19, 0.81]"
29,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 0 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 1 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 1 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n29,"[0.48, 0.64, 0.29, 0.75, 0.24, 0.78, 0.22, 0.79, 0.21, 0.8]"
30,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [0 1 1 1 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 1]
 [0 0 0 1 1 1 0 1 0 1]
 [0 0 0 1 0 1 0 0 0 1]
 [1 1 1 1 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n30,"[0.5, 0.56, 0.34, 0.69, 0.32, 0.69, 0.32, 0.68, 0.32, 0.68]"
31,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 0 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 1 1 1 1 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 1 1]
 [0 0 0 0 0 1 1 1 0 1]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n31,"[0.5, 0.56, 0.4, 0.67, 0.31, 0.75, 0.23, 0.8, 0.2, 0.81]"
32,<built-in function id>,"(0, 5)","(3, 3)","[[0 1 0 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 0 1 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 0]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 1 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n32,"[0.48, 0.6, 0.29, 0.74, 0.25, 0.78, 0.22, 0.8, 0.2, 0.81]"
33,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 0 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 0 0 1 0 0 1]
 [0 0 1 1 1 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 0 0 1 1 1 0 0 0]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n33,"[0.44, 0.65, 0.24, 0.8, 0.16, 0.87, 0.13, 0.89, 0.11, 0.92]"
34,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 1]
 [0 0 0 0 0 1 1 0 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 0 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 1 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 0 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n34,"[0.46, 0.67, 0.21, 0.83, 0.16, 0.88, 0.12, 0.9, 0.1, 0.93]"
35,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 0 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [1 0 0 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 1 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 1 0 1 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n35,"[0.5, 0.61, 0.31, 0.74, 0.21, 0.81, 0.17, 0.87, 0.13, 0.89]"
36,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 0 0]
 [0 0 1 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 1 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 0]
 [1 1 1 0 1 0 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 0 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n36,"[0.46, 0.59, 0.29, 0.76, 0.22, 0.81, 0.19, 0.83, 0.17, 0.84]"
37,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 1 1 0 1 1]
 [0 1 0 1 0 1 0 1 1 0]
 [1 0 1 0 0 1 1 1 0 1]
 [1 1 1 1 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 1]
 [0 0 0 0 1 1 0 1 0 1]
 [1 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 0 0 0 1 1 1 0 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n37,"[0.52, 0.58, 0.38, 0.64, 0.37, 0.64, 0.38, 0.62, 0.38, 0.62]"
38,<built-in function id>,"(0, 5)","(3, 3)","[[0 0 1 1 1 0 1 0 1 1]
 [0 1 0 0 0 1 0 1 0 0]
 [0 0 0 0 0 1 1 1 0 1]
 [0 1 1 1 1 0 1 0 0 1]
 [0 0 1 1 0 0 1 1 0 0]
 [0 0 0 0 1 1 0 1 0 1]
 [0 0 0 1 0 0 0 0 0 1]
 [1 1 1 0 1 1 0 0 0 1]
 [0 0 1 0 0 1 1 1 1 0]
 [0 1 1 0 1 1 1 0 0 1]]",10,./data/datasets/BISI/dataset11_chaotic/individuals/ca_<built-in function id>_k0_n38,"[0.46, 0.66, 0.27, 0.79, 0.19, 0.81, 0.18, 0.83, 0.17, 0.84]"
